Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2014-01-02,9598.25,9620.93,9400.04,9400.04,76678375
2014-01-03,9409.66,9453.25,9367.99,9435.15,91930092
2014-01-06,9419.44,9468.8,9399.81,9428,53653693
2014-01-07,9446.25,9515.87,9416.86,9506.2,79946847
2014-01-08,9512.79,9516.26,9469.69,9497.84,90140375
2014-01-09,9492.24,9549.5,9407.69,9421.61,98917043
2014-01-10,9473.87,9528.96,9441.25,9473.24,96130356
2014-01-13,9497.92,9519.3,9457.31,9510.17,85787747
2014-01-14,9391.46,9540.51,9381.94,9540.51,104777812
2014-01-15,9590.57,9744.26,9582.1,9733.81,120098989
2014-01-16,9742.21,9747.37,9702.97,9717.71,87811855
2014-01-17,9718.2,9789.89,9709.14,9742.96,131098053
2014-01-20,9713.2,9733.4,9672.32,9715.9,78126121
2014-01-21,9751.98,9794.05,9714.12,9730.12,80839585
2014-01-22,9752.11,9765.63,9677.14,9720.11,84234138
2014-01-23,9690.51,9728.78,9596.93,9631.04,98660434
2014-01-24,9646.65,9664.24,9374.08,9392.02,125916187
2014-01-27,9389.17,9402.72,9315.33,9349.22,112554094
2014-01-28,9405.53,9427.59,9351.08,9406.91,99321978
2014-01-29,9507.35,9537.63,9221.52,9336.73,126384208
2014-01-30,9343.51,9415.48,9266.95,9373.48,97748746
2014-01-31,9339.84,9346.79,9166.05,9306.48,126856545
2014-02-03,9318.77,9357.58,9175.45,9186.52,105545378
2014-02-04,9126.46,9156.51,9071.25,9127.91,114598199
2014-02-05,9105.28,9154.72,9081.24,9116.32,95608680
2014-02-06,9166.46,9274.46,9129.17,9256.58,122685179
2014-02-07,9275.38,9323.24,9223.21,9301.92,89003430
2014-02-10,9331.71,9346.13,9281.58,9289.86,59599917
2014-02-11,9338.8,9478.77,9338.26,9478.77,76248383
2014-02-12,9505.12,9593.46,9502.64,9540,85292264
2014-02-13,9522.66,9599.98,9479.86,9596.77,93209055
2014-02-14,9615.52,9677.53,9593.37,9662.4,91504842
2014-02-17,9661.8,9682.19,9645.51,9656.76,45850067
2014-02-18,9674.8,9690.97,9614.4,9659.78,58827305
2014-02-19,9641.45,9695.38,9596.42,9660.05,72892854
2014-02-20,9524.58,9618.85,9504.18,9618.85,88676915
2014-02-21,9665.08,9666.15,9598.03,9656.95,78587725
2014-02-24,9619.64,9708.94,9602.95,9708.94,67953538
2014-02-25,9676.56,9710.95,9631.66,9699.35,90676087
2014-02-26,9708.5,9720.33,9612.52,9661.73,87277196
2014-02-27,9660.55,9672.82,9497.78,9588.33,86422233
2014-02-28,9592.9,9692.08,9566.04,9692.08,83200839
2014-03-03,9553.08,9553.08,9358.73,9358.89,99108194
2014-03-04,9453.77,9589.15,9421.16,9589.15,95630198
2014-03-05,9562.39,9599,9534.43,9542.02,73341694
2014-03-06,9577.35,9587.44,9505.32,9542.87,103682643
2014-03-07,9538.45,9543.24,9346.82,9350.75,103246651
2014-03-10,9305.51,9382.98,9216.07,9265.5,84875421
2014-03-11,9295.32,9375.15,9259.18,9307.79,72300788
2014-03-12,9257.13,9267.1,9147.01,9188.69,107430638
2014-03-13,9200.12,9226.96,9017.35,9017.79,113773090
2014-03-14,8939.18,9094.24,8913.27,9056.41,141175468
2014-03-17,9047.49,9197.81,9047.49,9180.89,86964480
2014-03-18,9172.05,9315.07,9105.69,9242.55,99301228
2014-03-19,9262.71,9325.93,9221.59,9277.05,89476841
2014-03-20,9215.7,9296.9,9156.63,9296.12,96945748
2014-03-21,9300.66,9376.94,9288.15,9342.94,198583517
2014-03-24,9349.52,9358.95,9181.37,9188.77,86790855
2014-03-25,9223.92,9372.07,9223.9,9338.4,82230643
2014-03-26,9367.53,9488.74,9360.3,9448.58,75144768
2014-03-27,9428.91,9469.39,9397.98,9451.21,66826076
2014-03-28,9487.12,9587.19,9484.9,9587.19,70498449
2014-03-31,9621.92,9634.82,9543.09,9555.91,68772909
2014-04-01,9601.96,9631.06,9574.63,9603.71,72835140
2014-04-02,9628.76,9645.6,9608.46,9623.36,73975965
2014-04-03,9620.87,9689.52,9591.89,9628.82,76385766
2014-04-04,9641.96,9721.5,9627.74,9695.77,75314032
2014-04-07,9585.52,9608.2,9496.67,9510.85,78799997
2014-04-08,9525.07,9525.94,9391.86,9490.79,86190932
2014-04-09,9506.75,9542.31,9480.96,9506.35,69917062
2014-04-10,9556.7,9581.48,9440.99,9454.54,77873722
2014-04-11,9351.2,9390.44,9259.43,9315.29,100489724
2014-04-14,9248.86,9339.17,9214.18,9339.17,90916505
2014-04-15,9324.84,9344.85,9166.53,9173.71,88156792
2014-04-16,9252.3,9318.97,9221.48,9317.82,78803187
2014-04-17,9311.03,9417.82,9277.36,9409.71,86295237
2014-04-22,9455.52,9602.57,9439.66,9600.09,70194131
2014-04-23,9602.12,9607.84,9539.62,9544.19,61216915
2014-04-24,9597.07,9645.06,9410.33,9548.68,87813884
2014-04-25,9474.79,9501.91,9367.42,9401.55,79230193
2014-04-28,9454.84,9496.84,9407.65,9446.36,67539093
2014-04-29,9521.65,9596.42,9480.57,9584.12,91467885
2014-04-30,9576.93,9618.98,9561.06,9603.23,90290936
2014-05-02,9611.79,9627.38,9533.3,9556.02,88062286
2014-05-05,9536.38,9548.17,9407.09,9529.5,61911606
2014-05-06,9570.25,9571.63,9440.47,9467.53,82062892
2014-05-07,9418.5,9554.35,9410.08,9521.3,92732639
2014-05-08,9547.27,9622.3,9487.57,9607.4,102022506
2014-05-09,9591.32,9602.86,9558.11,9581.45,80084144
2014-05-12,9608.93,9710.34,9587.14,9702.46,87508499
2014-05-13,9751.05,9783.72,9732.34,9754.43,96844108
2014-05-14,9765.62,9772.09,9733.21,9754.39,76078993
2014-05-15,9741.25,9810.29,9631.57,9656.05,133897442
2014-05-16,9646.56,9670.9,9577.9,9629.1,113085429
2014-05-19,9607.32,9676.52,9534.56,9659.39,97857334
2014-05-20,9644.8,9685.56,9613.91,9639.08,67588361
2014-05-21,9615.86,9709.91,9583.56,9697.87,86239212
2014-05-22,9731.45,9734.14,9689.13,9720.91,63696037
2014-05-23,9722.63,9779.59,9704.75,9768.01,65280798
2014-05-26,9826.91,9893.81,9821.68,9892.82,53846382
2014-05-27,9893.33,9951.9,9879.64,9940.82,79797701
2014-05-28,9950.74,9957.87,9898.26,9939.17,72748507
2014-05-29,9937.66,9956.24,9917.97,9938.9,65743401
2014-05-30,9926.73,9970.77,9924.63,9943.27,103680132
2014-06-02,9986.86,9992.33,9907.77,9950.12,57920286
2014-06-03,9949.96,9954.78,9887.01,9919.74,71968636
2014-06-04,9903.82,9928.96,9866.97,9926.67,66442175
2014-06-05,9929.41,10013.69,9896.09,9947.83,129942510
2014-06-06,9954.01,10000.92,9941.65,9987.19,92994920
2014-06-09,9994.4,10009.6,9985.87,10008.63,43200381
2014-06-10,9998.51,10033.74,9987.69,10028.8,64483125
2014-06-11,10022.99,10024.84,9921.26,9949.81,96286452
2014-06-12,9950.52,9970.38,9917.61,9938.7,68482928
2014-06-13,9920.49,9944.57,9829.09,9912.87,79417742
2014-06-16,9885.97,9925.85,9872.77,9883.98,64029212
2014-06-17,9915.2,9982.89,9861.29,9920.32,72084212
2014-06-18,9932.04,9964.02,9922.07,9930.33,72976796
2014-06-19,10018.91,10023.55,9993.03,10004,86693463
2014-06-20,9995.5,10050.98,9987.24,9987.24,209559587
2014-06-23,9991.4,9993.02,9885.96,9920.92,68730109
2014-06-24,9938.64,9948.59,9899.47,9938.08,61266130
2014-06-25,9883.78,9914.12,9836.46,9867.75,82312043
2014-06-26,9894.55,9898.38,9749.75,9804.9,94924996
2014-06-27,9818.46,9836.68,9791.13,9815.17,63248871
2014-06-30,9833.85,9889.49,9800.08,9833.07,66649737
2014-07-01,9853.74,9902.41,9835.74,9902.41,54518987
2014-07-02,9913,9936.39,9890.11,9911.27,70229505
2014-07-03,9910.47,10032.28,9907.01,10029.43,78288046
2014-07-04,10028.71,10030.81,10007.4,10009.08,52046505
2014-07-07,9992.13,10015.36,9905.6,9906.07,60506275
2014-07-08,9918.27,9920.78,9772.14,9772.67,85865143
2014-07-09,9789.05,9817.47,9752.79,9808.2,73589732
2014-07-10,9807.25,9807.25,9617.59,9659.13,96879133
2014-07-11,9672.17,9708.43,9623.36,9666.34,62278398
2014-07-14,9710.92,9793.78,9693.89,9783.01,56259602
2014-07-15,9764.69,9788.71,9711.86,9719.41,72125544
2014-07-16,9747.88,9871.58,9747.52,9859.27,69459961
2014-07-17,9819.45,9845.85,9743.62,9753.88,76538147
2014-07-18,9703.67,9721.08,9655.51,9720.02,118113767
2014-07-21,9711.68,9717.7,9597.62,9612.05,65236516
2014-07-22,9682.21,9735.71,9647.74,9734.33,62368592
2014-07-23,9727.43,9802.06,9723.98,9753.56,64736851
2014-07-24,9772.15,9810.47,9674.68,9794.06,70366598
2014-07-25,9770.24,9794.85,9620.58,9644.01,73401644
2014-07-28,9660.71,9665.05,9527.59,9598.17,71997094
2014-07-29,9607.1,9692.33,9573.48,9653.63,66002294
2014-07-30,9646.43,9704.01,9572.9,9593.68,79991295
2014-07-31,9576.16,9582.74,9395.35,9407.48,131077441
2014-08-01,9379.74,9394.48,9185.41,9210.08,141582451
2014-08-04,9222.05,9243.23,9130.34,9154.14,85304257
2014-08-05,9186.03,9237.14,9152.38,9189.74,80560700
2014-08-06,9084.52,9166.21,9030.72,9130.04,98898298
2014-08-07,9081.29,9163.43,9025.82,9038.97,97954725
2014-08-08,8928.19,9061,8903.49,9009.32,102515812
2014-08-11,9106.67,9199,9089.31,9180.74,81228894
2014-08-12,9166.92,9171.94,9050,9069.47,74774568
2014-08-13,9133.84,9213.61,9118.32,9198.88,82251649
2014-08-14,9161.81,9265.92,9149.41,9225.1,80394255
2014-08-15,9239,9324.57,9067.58,9092.6,110261790
2014-08-18,9220.99,9261.65,9195.11,9245.33,63822143
2014-08-19,9276.19,9350.27,9276.18,9334.28,57793194
2014-08-20,9329.89,9333.68,9247.84,9314.57,63229726
2014-08-21,9328.71,9405.93,9278.86,9401.53,67874852
2014-08-22,9390.29,9414.39,9291.93,9339.17,70036561
2014-08-25,9456.67,9510.14,9424.11,9510.14,53554050
2014-08-26,9481.56,9591.72,9446.37,9588.15,66737079
2014-08-27,9583.98,9598.46,9562.71,9569.71,69031293
2014-08-28,9545.21,9546.81,9417.16,9462.56,72124485
2014-08-29,9483.42,9517.95,9369.4,9470.17,68471170
2014-09-01,9484.53,9500.2,9424.78,9479.03,43071923
2014-09-02,9525.15,9578.5,9485.24,9507.02,55157428
2014-09-03,9541.02,9683.1,9528.72,9626.49,90120961
2014-09-04,9591.43,9732.78,9539.92,9724.26,106652392
2014-09-05,9714.24,9774.65,9691.44,9747.02,77345023
2014-09-08,9767.9,9773.7,9721.71,9758.03,53013330
2014-09-09,9737.56,9769.21,9695.44,9710.7,57197878
2014-09-10,9672.45,9723.08,9635.5,9700.17,66540738
2014-09-11,9729.89,9732.83,9630.67,9691.28,62050275
2014-09-12,9706.59,9706.59,9617.7,9651.13,52625063
2014-09-15,9603.97,9682.46,9600.15,9659.63,55750897
2014-09-16,9644.28,9644.88,9588.65,9632.93,62265084
2014-09-17,9672.98,9695.44,9649.99,9661.5,67216885
2014-09-18,9703.1,9798.13,9686.43,9798.13,81235702
2014-09-19,9849.43,9891.2,9799.24,9799.26,195350414
2014-09-22,9748.53,9812.77,9735.69,9749.54,73980951
2014-09-23,9713.4,9719.66,9589.03,9595.03,88195952
2014-09-24,9598.77,9669.45,9534.77,9661.97,85850557
2014-09-25,9644.36,9718.11,9482.54,9510.01,97697000
2014-09-26,9500.55,9545.34,9454.88,9490.55,83499554
2014-09-29,9495.58,9504.98,9369.62,9422.91,77424784
2014-09-30,9446.81,9495,9404.89,9474.3,89859623
2014-10-01,9454.04,9520.97,9357.55,9382.03,83526579
2014-10-02,9363.28,9412.62,9195.68,9195.68,122375253
2014-10-06,9341.05,9343.65,9185.86,9209.51,103676286
2014-10-07,9164.77,9170.24,9080.35,9086.21,105001729
2014-10-08,9027.9,9064.88,8960.43,8995.33,112047011
2014-10-09,9082.66,9140.29,8975.06,9005.02,104101303
2014-10-10,8924.58,8958.66,8788.21,8788.81,162566052
2014-10-13,8703.85,8872.4,8699.6,8812.43,112874981
2014-10-14,8765.36,8854.39,8701.44,8825.21,116078320
2014-10-15,8838.68,8847.85,8558.83,8571.95,153532226
2014-10-16,8623.28,8662.86,8354.97,8582.9,224468475
2014-10-17,8629.16,8850.27,8588.42,8850.27,181971174
2014-10-20,8819.26,8834.73,8682.59,8717.76,103015964
2014-10-21,8693.06,8889.78,8644.71,8886.96,118317269
2014-10-22,8934.54,8957.16,8861.44,8940.14,97874288
2014-10-23,8873.54,9068.12,8820.89,9047.31,108376922
2014-10-24,9008.6,9044.85,8955.59,8987.8,98966499
2014-10-27,9080.8,9085.64,8837.66,8902.61,111764528
2014-10-28,8983.06,9077.89,8968.59,9068.19,78580544
2014-10-29,9139,9157.63,9072.64,9082.81,89680172
2014-10-30,9091.13,9146.95,8899.9,9114.84,119733178
2014-10-31,9283.4,9339.33,9217,9326.87,123211194
2014-11-03,9305.73,9343.64,9236.18,9251.7,79777577
2014-11-04,9244.09,9317.92,9148.78,9166.47,90365920
2014-11-05,9238.07,9329.07,9226.34,9315.48,81034837
2014-11-06,9284.97,9467.36,9268.63,9377.41,124002408
2014-11-07,9406.16,9414.32,9239.11,9291.83,104436951
2014-11-10,9233.87,9351.87,9222.57,9351.87,71162798
2014-11-11,9374.36,9400.9,9324.77,9369.03,79810337
2014-11-12,9339.68,9359.37,9189.63,9210.96,93733922
2014-11-13,9260.53,9311,9170.28,9248.51,82311964
2014-11-14,9272.36,9284.13,9184.46,9252.94,76730461
2014-11-17,9162.27,9331.32,9161.6,9306.35,72034408
2014-11-18,9323.75,9461.53,9323.52,9456.53,73982365
2014-11-19,9462.05,9521.73,9439.16,9472.8,73153498
2014-11-20,9460.4,9487.69,9382.23,9483.97,82097786
2014-11-21,9521.24,9736.14,9508.17,9732.55,166634381
2014-11-24,9722.31,9832.41,9711.77,9785.54,97612313
2014-11-25,9790.03,9921.46,9787.26,9861.21,117773853
2014-11-26,9894.6,9942.67,9868.35,9915.56,89124311
2014-11-27,9934.78,9992.67,9920.86,9974.87,84700245
2014-11-28,9990.7,9990.7,9902.4,9980.85,98906794
2014-12-01,9915.74,9979.08,9906.42,9963.51,97092835
2014-12-02,9983.79,10038.21,9910.21,9934.08,86630754
2014-12-03,9978.89,9993.85,9930.53,9971.79,83605017
2014-12-04,9998.85,10083.74,9835.42,9851.35,119705176
2014-12-05,9931.96,10093.03,9929.47,10087.12,93445064
2014-12-08,10060.91,10084.95,10014.99,10014.99,68931212
2014-12-09,9904.58,9951.66,9788.84,9793.71,110063626
2014-12-10,9859.78,9909.39,9775.39,9799.73,88531302
2014-12-11,9770.66,9907.82,9763.41,9862.53,98963276
2014-12-12,9794.2,9799.65,9586.22,9594.73,94544810
2014-12-15,9599.82,9678.26,9330.99,9334.01,112718683
2014-12-16,9366.56,9567.09,9219.05,9563.89,171052403
2014-12-17,9455.74,9589.25,9429.4,9544.43,102078946
2014-12-18,9711.61,9811.06,9671.18,9811.06,121015635
2014-12-19,9901.26,9901.26,9688.66,9786.96,173452906
2014-12-22,9827.26,9924.01,9826.55,9865.76,61833279
2014-12-23,9887.24,9922.11,9848.06,9922.11,47508196
2014-12-29,9914.87,9927.85,9775.45,9927.13,47150787
2014-12-30,9883.1,9886.78,9805.55,9805.55,34753267
2015-01-02,9869.13,9879.53,9687.26,9764.73,67673937
2015-01-05,9735.65,9790.27,9468.91,9473.16,105538349
2015-01-06,9484.25,9624.65,9382.82,9469.66,96812278
2015-01-07,9510.34,9592.37,9459.18,9518.18,82466602
2015-01-08,9643.77,9855.43,9607.9,9837.61,114825020
2015-01-09,9813.99,9860.18,9601.75,9648.5,107473403
2015-01-12,9697.46,9815.96,9622.32,9781.9,101315825
2015-01-13,9759.57,9978.94,9755.02,9941,116360634
2015-01-14,9810.7,9962.98,9768.1,9817.08,125068897
2015-01-15,9933.45,10063.18,9637.33,10032.61,147822288
2015-01-16,9985.51,10207.97,9940.64,10167.77,141081531
2015-01-19,10231.58,10293.04,10191.98,10242.35,80650325
2015-01-20,10278.55,10298.42,10211.39,10257.13,109024394
